,date,tweet,country_region,confirmed_us,deaths_us
0,2021-02-19,officials are concerned about 3 variants detected in the u s the b 1 1 7 variant first identified in uk is currently the most common with 1 523 cases detected in 41 states and d c stop new variants by preventing the spread of covid 19 more ,US,28006110,495804.0
1,2021-02-19,getting a vaccine is important for adults with certain health conditions because they may get very sick from covid 19 vaccines for covid 19 are recommended for people who havent had a bad reaction to any ingredients in the vaccine learn more ,US,28006110,495804.0
2,2021-02-18, you need two mrna vaccine doses to get the most protection from covid 19 time of your second dose will depend on which vaccine you got need help scheduling the second dose contact the location that set up your first appointment ,US,27896040,493098.0
3,2021-02-18,covid 19 vaccine communicators experts will share information on the importance of tailoring vaccine communications to your communitys needs at the national ,US,27896040,493098.0
4,2021-02-18,providing health services through is critical to ensure access to care while limiting exposure to a new report discusses trends in use of telehealth at health centers during the covid 19 pandemic read more ,US,27896040,493098.0
5,2021-02-18,hcps do your school age patients need catch up vaccines before returning to in school learning especially during covid 19 for current vaccine recommendations see table 2 of the 2021 recommended child and adolescent immunization schedule ,US,27896040,493098.0
6,2021-02-18,vaccines currently used in the u s were shown in clinical trials to be 95 effective at preventing covid 19 disease cdc is evaluating how covid 19 vaccines work in real world conditions learn more ,US,27896040,493098.0
7,2021-02-17,covid 19 science update find the latest research on the spread of variant strains vaccine effectiveness and more read the full update ,US,27826812,490540.0
8,2021-02-17,experiencing data overload cdcs new covid data tracker weekly review helps you stay up to date on the pandemic with weekly visualizations analysis amp interpretations of key data amp trends read the 1st edition subscribe ,US,27826812,490540.0
9,2021-02-16,vaccines protect you from getting sick with covid 19 as of february 16 more than 39 million people had received their first dose of covid 19 vaccine of those over 15 million people had received both doses amp are fully vaccinated more ,US,27756624,488081.0
10,2021-02-16, your patients trust your vaccine recommendation have conversations with them about covid 19 vaccines follow these tips for effective vaccine conversations ,US,27756624,488081.0
11,2021-02-12,subscribe to cdcs new covid data tracker weekly review ,US,27492023,480887.0
12,2021-02-12,dyk researchers have studied mrna vaccines for decades vaccines were developed amp manufactured quickly but are held to the same high safety standards for all vaccines covid 19 vaccines are a safe way to protect against covid 19 illness more ,US,27492023,480887.0
13,2021-02-12,getting a vaccine will help protect you from getting sick with covid 19 some people may have mild side effects after vaccination which are normal signs that your body is building protection against the disease learn more ,US,27492023,480887.0
14,2021-02-11,this weeks stats shows the different settings in which students reported masks being worn all the time at school wearing masks consistently and correctly is key to slowing the spread of covid 19 more ,US,27392512,475444.0
15,2021-02-10,public health and healthcare professionals involved in covid 19 vaccination dont miss the national forum on covid 19 vaccine to support implementation of a safe effective and comprehensive vaccination program register ,US,27287159,471567.0
16,2021-02-10,rates of cases remain high in the last 7 days the united states has averaged more than 107 000 new cases of covid 19 each day slow the spread wear a mask stay 6 feet apart avoid crowds wash your hands more ,US,27287159,471567.0
17,2021-02-10,covid 19 science update read the latest research on strategies to slow the spread in classroom settings vaccine recommendations and more read the full update ,US,27287159,471567.0
18,2021-02-09, as of february 8 more than 42 million vaccine doses have been administered across the united states as part of the covid 19 vaccine rollout follow daily trends in the number of vaccines administered ,US,27192455,468203.0
19,2021-02-08,vaccines are one of many tools to help us stop this pandemic as of february 8 2021 over 32 million people had received their first dose of covid 19 vaccine of those almost 10 million people had received both doses amp are fully vaccinated more,US,27097095,465072.0
20,2021-02-08,join todays cdc partner update call at 3 p m et via zoom title covid 19 information for essential workplaces retweet and register ,US,27097095,465072.0
21,2021-02-05,people of all ages including young and middle aged adults continue to be at risk for severe based on covid net data among adults who have been hospitalized with covid 19 1 in 5 are under 50 more covid 19 hospitalization data ,US,26813772,459555.0
22,2021-02-05,starting friday february 12 will be replaced with the covid data tracker weekly review this new webpage and newsletter will highlight and interpret key data from cdcs covid data tracker each week sign up for the newsletter here ,US,26813772,459555.0
23,2021-02-04,as of february 1 national forecasts predict that 11 300 to 22 600 new deaths will be reported during the week ending february 27 these forecasts predict 496 000 to 534 000 total covid 19 deaths in the united states by february 27 more ,US,26680214,455881.0
24,2021-02-04,new finds that during the covid 19 pandemic the mental health of u s adults was negatively impacted with hispanic persons reporting the highest prevalence of depressive symptoms suicidal thoughts and increased substance use ,US,26680214,455881.0
25,2021-02-04,antonio a hospital nutritional service staff member and survivor rolled his for his first dose of covid 19 vaccine its important that all healthcare personnel get vaccinated asap even if youve had covid 19 and recovered you should get vaccinated ,US,26680214,455881.0
26,2021-02-03,covid 19 science update read the latest research on mask wearing the effect of the mrna vaccine on variants and more read the full update ,US,26557026,450797.0
27,2021-02-03,join the cdc partner update call monday february 8 at 3 p m et via zoom title covid 19 information for essential workplaces retweet and register ,US,26557026,450797.0
28,2021-02-01,vaccines keep you from getting covid 19 as of february 1 2021 more than 26 million people had received their first dose of a covid 19 vaccine of those almost 6 million had received both doses and are fully vaccinated more ,US,26321120,443355.0
29,2021-02-01,covid 19 science update read the latest research on vaccine acceptance how variants of the virus that causes covid 19 spread and more read the full update ,US,26321120,443355.0
30,2021-02-01,join the cdc partner update call monday february 1 at 3 pm et via zoom topic one health resources to address covid 19 in animals and people retweet and register ,US,26321120,443355.0
31,2021-01-29,dyk cdcs home for data the covid data tracker has a new homepage with updated tools amp features to make it easier to find information to protect yourself amp loved ones data are updated daily amp new features are added every week see more ,US,25932794,436799.0
32,2021-01-29,vaccines are safe and effective millions of people in the united states have received covid 19 vaccines and these vaccines have undergone the most intensive safety monitoring in u s history more on covid 19 vaccine safety ,US,25932794,436799.0
33,2021-01-29,looking for up to date information about how could affect pregnancy and care for infants cdcs covid 19 toolkit for pregnant people and new parents includes psas clinical guidance and other resources here ,US,25932794,436799.0
34,2021-01-28,as of january 25 national forecasts predict that 13 500 to 25 000 new deaths will be reported during the week ending february 20 these forecasts predict 479 000 to 514 000 total covid 19 deaths in the united states by february 20 more ,US,25766681,433195.0
35,2021-01-28,new on cases in wisconsin from march to mid nov 2020 finds covid 19 outbreaks at colleges amp universities came before increased community spread students faculty amp staff should wear masks stay 6 ft apart amp avoid gatherings more ,US,25766681,433195.0
36,2021-01-28, attend todays coca call treating long covid clinician experience with post acute covid 19 care at 2pm et learn more ,US,25766681,433195.0
37,2021-01-27,rates of cases are widespread across the united states as of january 24 over 25 million total cases of covid 19 have been reported to cdc help slow the spread in your community wear a mask avoid crowds stay 6 feet apart more ,US,25598061,429195.0
38,2021-01-27,student athletes if you live on campus and get take part in contact tracing and stay in your dorm or apartment you can stop the spread of covid 19 be a team player answer the call more ,US,25598061,429195.0
39,2021-01-27, attend the next coca call thurs 1 28 at 2pm et topic treating long covid clinician experience with post acute covid 19 care more ,US,25598061,429195.0
40,2021-01-27,covid 19 science update read the latest research on vaccine safety and effectiveness risk factors in nursing homes rapid virus spread in a detention facility and more read the full update ,US,25598061,429195.0
41,2021-01-27,join the cdc partner update call monday february 1 at 3 pm et via zoom topic one health resources to address covid 19 in animals and people retweet and register ,US,25598061,429195.0
42,2021-01-26,vaccinating long term care facility residents will help save the lives of those who are most at risk of dying from covid 19 track the rollout of the vaccine in these facilities across the country including vaccination numbers in your state ,US,25445583,425252.0
43,2021-01-26, reports outbreak linked to two wrestling tournaments highlighting the need for health depts amp schools to weigh the benefits of allowing high contact sports against risk for spread of covid 19 and the impact on in person learning more ,US,25445583,425252.0
44,2021-01-26,a new finds that k 12 schools can limit the spread of through masks amp other preventive measures even with high rates of covid 19 in the community more ,US,25445583,425252.0
